time.TIME,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,Gyro.gyro_X,Gyro.gyro_Y,driver_demands.steering,driver_demands.throttle
0,8.48976E-07,20,-4.99821E-06,2.5E-11,0,-1.156027013,2.62749E-05,0,0
0.01,1.72226E-06,20.00191509,-4.99321E-06,-2.689E-09,0,-0.9560155,2.62782E-05,-7E-12,6.49666E-05
0.02,3.62482E-06,20.00001455,-4.97002E-06,-1.6426E-08,0,-0.756001902,2.62939E-05,-7.018E-09,0.073640281
0.03,6.44876E-06,19.994318,-4.91935E-06,-4.7679E-08,0,-0.556028066,2.63291E-05,-2.7387E-08,0.436030617
0.04,1.00072E-05,19.98769512,-4.83662E-06,-1.00682E-07,0,-0.35611854,2.63882E-05,-1.536E-09,1.188917653
0.05,1.40927E-05,19.98275033,-4.72434E-06,-1.77858E-07,0,-0.156268393,2.64728E-05,2.17426E-07,2.299209335
0.06,1.85442E-05,19.98026652,-4.59152E-06,-2.80038E-07,0,0.043544788,2.65826E-05,8.51818E-07,3.615459436
0.07,2.32597E-05,19.97936738,-4.45069E-06,-4.0644E-07,0,0.243342207,2.67157E-05,2.16344E-06,4.921502402
0.08,2.8177E-05,19.97872475,-4.31439E-06,-5.549E-07,0,0.443132886,2.68698E-05,4.40091E-06,6.015717844
0.09,3.32547E-05,19.97764687,-4.19441E-06,-7.2245E-07,0,0.642915146,2.70425E-05,7.75311E-06,6.76809192
0.1,3.8452E-05,19.97629509,-4.09946E-06,-9.06046E-07,0,0.842684868,2.72317E-05,1.23267E-05,7.150600199
0.11,4.37381E-05,19.97515584,-4.03469E-06,-1.10297E-06,0,1.04244177,2.74354E-05,1.81427E-05,7.278454785
0.12,4.90925E-05,19.974436,-4.00239E-06,-1.31069E-06,0,1.2421894,2.7652E-05,2.51226E-05,7.366193226
0.13,5.45006E-05,19.97391161,-4.00252E-06,-1.52654E-06,0,1.441931124,2.78802E-05,3.30638E-05,7.456523447
0.14,5.99435E-05,19.97321258,-4.0331E-06,-1.74743E-06,0,1.641666996,2.81189E-05,4.16284E-05,7.554415304
0.15,6.53882E-05,19.9721794,-4.09046E-06,-1.97002E-06,0,1.841394198,2.83677E-05,5.03753E-05,7.666794299
0.16,7.07878E-05,19.9709682,-4.16982E-06,-2.19104E-06,0,2.041109945,2.86264E-05,5.8831E-05,7.79584926
0.17,7.60831E-05,19.96986329,-4.26543E-06,-2.40762E-06,0,2.240813892,2.88948E-05,6.6567E-05,7.937626509
0.18,8.12134E-05,19.96901413,-4.37142E-06,-2.6173E-06,0,2.440508043,2.91726E-05,7.32561E-05,8.086086387
0.19,8.6119E-05,19.96833493,-4.48223E-06,-2.81788E-06,0,2.640194706,2.94594E-05,7.87078E-05,8.238105618
0.2,9.07411E-05,19.9676205,-4.593E-06,-3.00728E-06,0,2.839874569,2.97549E-05,8.29095E-05,8.395006838
0.21,9.50219E-05,19.96673932,-4.69985E-06,-3.18363E-06,0,3.039546496,3.00582E-05,8.60818E-05,8.56000429
0.22,9.89081E-05,19.96572763,-4.79995E-06,-3.3454E-06,0,3.239208863,3.03684E-05,8.85718E-05,8.734510807
0.23,0.000102359,19.96472658,-4.89102E-06,-3.49161E-06,0,3.438861038,3.06846E-05,9.04557E-05,8.916612358
0.24,0.000105349,19.96384583,-4.97666E-06,-3.62181E-06,0,3.638503755,3.10052E-05,9.17596E-05,9.102538559
0.25,0.000107884,19.96308102,-5.05598E-06,-3.73595E-06,0,3.838138296,3.13289E-05,9.25348E-05,9.289315195
0.26,0.000109977,19.96234187,-5.12786E-06,-3.83416E-06,0,4.037765406,3.16545E-05,9.28025E-05,9.476176819
0.27,0.000111644,19.96154453,-5.19371E-06,-3.91667E-06,0,4.23738488,3.19807E-05,9.25873E-05,9.663841205
0.28,0.000112905,19.96067912,-5.25503E-06,-3.98391E-06,0,4.436996013,3.23065E-05,9.19153E-05,9.852716636
0.29,0.000113782,19.95980237,-5.31265E-06,-4.03648E-06,0,4.636598374,3.2631E-05,9.08238E-05,10.04173941
0.3,0.000114296,19.95897739,-5.36675E-06,-4.07525E-06,0,4.836192188,3.29533E-05,8.93612E-05,10.22867207
0.31,0.000114477,19.95822119,-5.41702E-06,-4.10124E-06,0,5.035778107,3.32725E-05,8.75779E-05,10.41131146
0.32,0.000114353,19.95750117,-5.46294E-06,-4.11554E-06,0,5.235356686,3.3588E-05,8.55179E-05,10.58842755
0.33,0.000113955,19.95677306,-5.50386E-06,-4.11923E-06,0,5.434928056,3.38989E-05,8.32174E-05,10.7597296
0.34,0.000113312,19.95602002,-5.53921E-06,-4.11343E-06,0,5.634492019,3.42048E-05,8.0711E-05,10.92510703
0.35,0.000112452,19.95526077,-5.56853E-06,-4.09928E-06,0,5.834048395,3.45052E-05,7.80379E-05,11.08393479
0.36,0.000111404,19.95452672,-5.5916E-06,-4.07804E-06,0,6.033597283,3.47995E-05,7.5243E-05,11.23500827
0.37,0.000110197,19.95383358,-5.60839E-06,-4.05099E-06,0,6.233139034,3.50873E-05,7.23714E-05,11.37703296
0.38,0.00010886,19.95317195,-5.61913E-06,-4.01939E-06,0,6.432674029,3.53683E-05,6.94631E-05,11.5091546
0.39,0.000107423,19.95252058,-5.62422E-06,-3.98439E-06,0,6.632202478,3.5642E-05,6.6551E-05,11.63109398
0.4,0.000105914,19.95186635,-5.62429E-06,-3.94711E-06,0,6.831724404,3.59082E-05,6.36629E-05,11.74287004
0.41,0.00010436,19.95121322,-5.62016E-06,-3.90856E-06,0,7.031239786,3.61667E-05,6.08265E-05,11.84443678
0.42,0.000102782,19.95057513,-5.61225E-06,-3.86977E-06,0,7.230748701,3.64173E-05,5.80701E-05,11.93555998
0.43,0.000101204,19.94996213,-5.60112E-06,-3.83167E-06,0,7.430251358,3.66598E-05,5.54223E-05,12.01599157
0.44,9.9649E-05,19.94937259,-5.58772E-06,-3.79516E-06,0,7.62974801,3.68941E-05,5.29064E-05,12.08574273
0.45,9.81356E-05,19.94879669,-5.57296E-06,-3.761E-06,0,7.829238846,3.71201E-05,5.0539E-05,12.14521858
0.46,9.66805E-05,19.94822569,-5.55733E-06,-3.72986E-06,0,8.028723952,3.73379E-05,4.83338E-05,12.19514229
0.47,9.52983E-05,19.94765834,-5.54132E-06,-3.7023E-06,0,8.228203366,3.75473E-05,4.63009E-05,12.23638524
0.48,9.40011E-05,19.94709957,-5.52539E-06,-3.67883E-06,0,8.427677145,3.77485E-05,4.44502E-05,12.26987167
0.49,9.27986E-05,19.94655434,-5.50999E-06,-3.65987E-06,0,8.627145402,3.79415E-05,4.27898E-05,12.29662884
0.5,9.16988E-05,19.94602267,-5.49545E-06,-3.64576E-06,0,8.826608277,3.81263E-05,4.13252E-05,12.31791881
0.51,9.07079E-05,19.94549968,-5.48205E-06,-3.63677E-06,0,9.026065884,3.83029E-05,4.00578E-05,12.33533475
0.52,8.98297E-05,19.94497977,-5.46999E-06,-3.63304E-06,0,9.225518281,3.84716E-05,3.89851E-05,12.35079859
0.53,8.90659E-05,19.94446086,-5.45938E-06,-3.63464E-06,0,9.424965482,3.86323E-05,3.81025E-05,12.36598892
0.54,8.84163E-05,19.94394509,-5.45031E-06,-3.64157E-06,0,9.624407508,3.8785E-05,3.74043E-05,12.38118672
0.55,8.7879E-05,19.94343601,-5.44278E-06,-3.65378E-06,0,9.823844407,3.893E-05,3.6884E-05,12.39634601
0.56,8.74505E-05,19.94293538,-5.43671E-06,-3.67114E-06,0,10.02327626,3.90672E-05,3.65342E-05,12.41140616
0.57,8.71264E-05,19.94244226,-5.43195E-06,-3.69348E-06,0,10.22270314,3.91968E-05,3.63446E-05,12.4263433
0.58,8.69013E-05,19.94195443,-5.42841E-06,-3.72057E-06,0,10.42212512,3.93187E-05,3.63039E-05,12.44118063
0.59,8.67691E-05,19.94147049,-5.42609E-06,-3.75211E-06,0,10.62154224,3.94329E-05,3.6399E-05,12.45595786
0.6,8.67224E-05,19.94099084,-5.42497E-06,-3.78778E-06,0,10.82095454,3.95396E-05,3.66173E-05,12.47069416
0.61,8.67531E-05,19.94051682,-5.42496E-06,-3.82724E-06,0,11.02036208,3.96388E-05,3.69464E-05,12.48537649
0.62,8.68536E-05,19.94004942,-5.42594E-06,-3.87013E-06,0,11.2197649,3.97304E-05,3.73742E-05,12.49997736
0.63,8.70159E-05,19.93958844,-5.42786E-06,-3.91608E-06,0,11.41916309,3.98145E-05,3.78887E-05,12.51448079
0.64,8.72321E-05,19.93913295,-5.4307E-06,-3.9647E-06,0,11.61855669,3.98911E-05,3.84771E-05,12.52889324
0.65,8.74945E-05,19.93868217,-5.43444E-06,-4.01559E-06,0,11.81794576,3.99601E-05,3.9127E-05,12.5432337
0.66,8.77952E-05,19.9382361,-5.43904E-06,-4.06835E-06,0,12.01733035,4.00217E-05,3.98264E-05,12.55751558
0.67,8.81265E-05,19.93779532,-5.44443E-06,-4.12259E-06,0,12.2167105,4.00757E-05,4.05639E-05,12.57173714
0.68,8.84807E-05,19.93736037,-5.4505E-06,-4.17795E-06,0,12.41608627,4.01223E-05,4.13298E-05,12.58588654
0.69,8.8851E-05,19.93693131,-5.45712E-06,-4.23407E-06,0,12.61545773,4.01613E-05,4.21144E-05,12.59995421
0.7,8.92304E-05,19.93650772,-5.46411E-06,-4.2906E-06,0,12.81482492,4.0193E-05,4.29089E-05,12.61394078
0.71,8.96129E-05,19.93608917,-5.47132E-06,-4.34723E-06,0,13.0141879,4.02171E-05,4.37053E-05,12.62785498
0.72,8.99926E-05,19.93567553,-5.47856E-06,-4.40365E-06,0,13.21354672,4.02338E-05,4.4496E-05,12.64170533
0.73,9.03644E-05,19.93526702,-5.48566E-06,-4.4596E-06,0,13.41290143,4.0243E-05,4.52747E-05,12.65549379
0.74,9.07234E-05,19.93486392,-5.49244E-06,-4.51482E-06,0,13.61225208,4.02449E-05,4.60358E-05,12.66921621
0.75,9.10656E-05,19.93446635,-5.49876E-06,-4.56909E-06,0,13.81159872,4.02393E-05,4.67748E-05,12.68286765
0.76,9.13874E-05,19.93407415,-5.50447E-06,-4.62222E-06,0,14.01094142,4.02264E-05,4.7488E-05,12.69644725
0.77,9.1686E-05,19.93368707,-5.50945E-06,-4.67403E-06,0,14.21028022,4.02061E-05,4.81721E-05,12.7099587
0.78,9.1959E-05,19.933305,-5.51359E-06,-4.72439E-06,0,14.40961518,4.01785E-05,4.88249E-05,12.72340682
0.79,9.22046E-05,19.932928,-5.51679E-06,-4.77318E-06,0,14.60894634,4.01436E-05,4.94447E-05,12.73679399
0.8,9.24215E-05,19.93255618,-5.519E-06,-4.82029E-06,0,14.80827376,4.01015E-05,5.00306E-05,12.75011924
0.81,9.26092E-05,19.93218964,-5.52017E-06,-4.86566E-06,0,15.00759748,4.00522E-05,5.05825E-05,12.76338035
0.82,9.27672E-05,19.93182831,-5.52028E-06,-4.90925E-06,0,15.20691757,3.99958E-05,5.11005E-05,12.77657643
0.83,9.28959E-05,19.93147208,-5.51931E-06,-4.95101E-06,0,15.40623406,3.99323E-05,5.15858E-05,12.78970884
0.84,9.29959E-05,19.93112086,-5.51728E-06,-4.99095E-06,0,15.60554702,3.98619E-05,5.20392E-05,12.80278002
0.85,9.30681E-05,19.93077464,-5.51421E-06,-5.02907E-06,0,15.8048565,3.97845E-05,5.24625E-05,12.81579168
0.86,9.31138E-05,19.93043347,-5.51015E-06,-5.06539E-06,0,16.00416253,3.97004E-05,5.28577E-05,12.82874388
0.87,9.31347E-05,19.93009738,-5.50514E-06,-5.09996E-06,0,16.20346518,3.96095E-05,5.32268E-05,12.84163566
0.88,9.31324E-05,19.92976636,-5.49924E-06,-5.13281E-06,0,16.4027645,3.95121E-05,5.35726E-05,12.85446634
0.89,9.31089E-05,19.92944034,-5.49252E-06,-5.16401E-06,0,16.60206053,3.94081E-05,5.38973E-05,12.86723626
0.9,9.30663E-05,19.92911926,-5.48505E-06,-5.19363E-06,0,16.80135332,3.92978E-05,5.42038E-05,12.87994644
0.91,9.30068E-05,19.9288031,-5.4769E-06,-5.22174E-06,0,17.00064293,3.91812E-05,5.44946E-05,12.89259782
0.92,9.29326E-05,19.92849185,-5.46818E-06,-5.24841E-06,0,17.1999294,3.90586E-05,5.47723E-05,12.90519058
0.93,9.28461E-05,19.92818553,-5.459E-06,-5.27374E-06,0,17.39921278,3.893E-05,5.50398E-05,12.91772424
0.94,9.27495E-05,19.92788412,-5.44946E-06,-5.2978E-06,0,17.59849313,3.87956E-05,5.52996E-05,12.9301983
0.95,9.2645E-05,19.92758759,-5.43962E-06,-5.32068E-06,0,17.79777048,3.86555E-05,5.55542E-05,12.94261261
0.96,9.25348E-05,19.92729589,-5.42957E-06,-5.34246E-06,0,17.99704489,3.85099E-05,5.58058E-05,12.95496747
0.97,9.24209E-05,19.92700898,-5.41939E-06,-5.36322E-06,0,18.19631641,3.83591E-05,5.60564E-05,12.96726322
0.98,9.23052E-05,19.92672686,-5.40915E-06,-5.38304E-06,0,18.39558509,3.8203E-05,5.6308E-05,12.97949989
0.99,9.21892E-05,19.92644951,-5.3989E-06,-5.402E-06,0,18.59485097,3.8042E-05,5.65621E-05,12.9916772
1,9.20746E-05,19.92617691,-5.38867E-06,-5.42016E-06,0,18.7941141,3.78761E-05,5.68201E-05,13.0037947
1.01,9.19625E-05,19.92590904,-5.37849E-06,-5.43758E-06,0,18.99337452,3.77056E-05,5.70831E-05,13.01585213
1.02,9.18541E-05,19.92564586,-5.36836E-06,-5.45432E-06,0,19.19263229,3.75306E-05,5.73518E-05,13.02784939
1.03,9.17503E-05,19.92538734,-5.35829E-06,-5.47044E-06,0,19.39188745,3.73513E-05,5.76272E-05,13.03978652
1.04,9.16519E-05,19.92513346,-5.3483E-06,-5.48596E-06,0,19.59114005,3.71679E-05,5.79095E-05,13.05166343
1.05,9.15594E-05,19.92488419,-5.33839E-06,-5.50094E-06,0,19.79039014,3.69805E-05,5.81989E-05,13.06347988
1.06,9.14733E-05,19.92463952,-5.32855E-06,-5.5154E-06,0,19.98963775,3.67893E-05,5.84956E-05,13.07523553
1.07,9.13939E-05,19.92439941,-5.31881E-06,-5.52937E-06,0,20.18888294,3.65944E-05,5.87993E-05,13.0869301
1.08,9.13214E-05,19.92416384,-5.30917E-06,-5.54286E-06,0,20.38812576,3.63962E-05,5.91099E-05,13.0985634
1.09,9.12559E-05,19.92393278,-5.29964E-06,-5.5559E-06,0,20.58736624,3.61946E-05,5.94268E-05,13.11013533
1.1,9.11973E-05,19.9237062,-5.29023E-06,-5.56848E-06,0,20.78660443,3.59898E-05,5.97497E-05,13.12164576
1.11,9.11454E-05,19.92348407,-5.28096E-06,-5.58062E-06,0,20.98584037,3.57821E-05,6.00778E-05,13.13309452
1.12,9.11001E-05,19.92326637,-5.27182E-06,-5.59231E-06,0,21.18507412,3.55715E-05,6.04103E-05,13.14448139
1.13,9.10611E-05,19.92305308,-5.26284E-06,-5.60355E-06,0,21.38430572,3.53583E-05,6.07466E-05,13.15580614
1.14,9.1028E-05,19.92284417,-5.25401E-06,-5.61433E-06,0,21.5835352,3.51425E-05,6.10858E-05,13.16706863
1.15,9.10004E-05,19.9226396,-5.24535E-06,-5.62465E-06,0,21.78276261,3.49243E-05,6.14271E-05,13.17826875
1.16,9.09779E-05,19.92243936,-5.23685E-06,-5.6345E-06,0,21.98198801,3.47039E-05,6.17695E-05,13.18940643
1.17,9.096E-05,19.92224341,-5.22852E-06,-5.64385E-06,0,22.18121142,3.44815E-05,6.21122E-05,13.20048157
1.18,9.09463E-05,19.92205173,-5.22036E-06,-5.65271E-06,0,22.38043289,3.4257E-05,6.24545E-05,13.21149406
1.19,9.09361E-05,19.9218643,-5.21238E-06,-5.66106E-06,0,22.57965246,3.40308E-05,6.27951E-05,13.22244381
1.2,9.09291E-05,19.92168108,-5.20455E-06,-5.66888E-06,0,22.77887019,3.38029E-05,6.31336E-05,13.23333075
1.21,9.09248E-05,19.92150206,-5.19689E-06,-5.67616E-06,0,22.9780861,3.35734E-05,6.3469E-05,13.24415485
1.22,9.09225E-05,19.92132719,-5.18938E-06,-5.68289E-06,0,23.17730024,3.33426E-05,6.38005E-05,13.25491611
1.23,9.0922E-05,19.92115647,-5.18202E-06,-5.68906E-06,0,23.37651266,3.31104E-05,6.41276E-05,13.26561453
1.24,9.09226E-05,19.92098986,-5.1748E-06,-5.69464E-06,0,23.57572339,3.28771E-05,6.44494E-05,13.27625012
1.25,9.0924E-05,19.92082734,-5.16771E-06,-5.69965E-06,0,23.77493247,3.26428E-05,6.47655E-05,13.28682288
1.26,9.09258E-05,19.92066888,-5.16074E-06,-5.70405E-06,0,23.97413995,3.24076E-05,6.50752E-05,13.29733285
1.27,9.09275E-05,19.92051445,-5.15388E-06,-5.70786E-06,0,24.17334586,3.21716E-05,6.5378E-05,13.30778009
1.28,9.09289E-05,19.92036404,-5.1471E-06,-5.71106E-06,0,24.37255025,3.1935E-05,6.56736E-05,13.31816467
1.29,9.09296E-05,19.92021761,-5.1404E-06,-5.71365E-06,0,24.57175315,3.16978E-05,6.59614E-05,13.32848667
1.3,9.09293E-05,19.92007514,-5.13375E-06,-5.71563E-06,0,24.77095461,3.14601E-05,6.62413E-05,13.33874619
1.31,9.09277E-05,19.91993661,-5.12714E-06,-5.71699E-06,0,24.97015467,3.12222E-05,6.65129E-05,13.34894334
1.32,9.09247E-05,19.919802,-5.12056E-06,-5.71774E-06,0,25.16935336,3.0984E-05,6.67759E-05,13.3590782
1.33,9.092E-05,19.91967127,-5.11401E-06,-5.71787E-06,0,25.36855072,3.07457E-05,6.70303E-05,13.36915091
1.34,9.09136E-05,19.9195444,-5.10748E-06,-5.71741E-06,0,25.5677468,3.05074E-05,6.7276E-05,13.3791616
1.35,9.09054E-05,19.91942138,-5.101E-06,-5.71634E-06,0,25.76694162,3.02692E-05,6.7513E-05,13.38911042
1.36,9.08955E-05,19.91930216,-5.09457E-06,-5.71468E-06,0,25.96613524,3.00312E-05,6.77413E-05,13.3989975
1.37,9.08839E-05,19.91918674,-5.0882E-06,-5.71244E-06,0,26.16532768,2.97935E-05,6.79612E-05,13.40882301
1.38,9.08707E-05,19.91907509,-5.08192E-06,-5.70964E-06,0,26.36451898,2.95562E-05,6.81726E-05,13.41858708
1.39,9.0856E-05,19.91896718,-5.07575E-06,-5.70628E-06,0,26.56370919,2.93194E-05,6.83758E-05,13.42828987
1.4,9.084E-05,19.918863,-5.06972E-06,-5.70238E-06,0,26.76289834,2.90832E-05,6.85712E-05,13.43793156
1.41,9.08228E-05,19.91876251,-5.06382E-06,-5.69795E-06,0,26.96208647,2.88476E-05,6.87586E-05,13.44751231
1.42,9.08046E-05,19.91866569,-5.05809E-06,-5.69301E-06,0,27.1612736,2.86128E-05,6.89386E-05,13.45703228
1.43,9.07855E-05,19.91857253,-5.05252E-06,-5.68758E-06,0,27.36045979,2.83789E-05,6.91113E-05,13.46649164
1.44,9.07658E-05,19.91848299,-5.04713E-06,-5.68167E-06,0,27.55964507,2.81459E-05,6.92769E-05,13.47589056
1.45,9.07455E-05,19.91839706,-5.0419E-06,-5.67531E-06,0,27.75882946,2.7914E-05,6.94359E-05,13.48522921
1.46,9.07248E-05,19.91831471,-5.03685E-06,-5.66851E-06,0,27.95801302,2.76832E-05,6.95881E-05,13.49450774
1.47,9.07038E-05,19.91823591,-5.03196E-06,-5.66128E-06,0,28.15719577,2.74536E-05,6.97341E-05,13.50372634
1.48,9.06828E-05,19.91816066,-5.02723E-06,-5.65365E-06,0,28.35637775,2.72252E-05,6.98739E-05,13.51288516
1.49,9.06616E-05,19.91808891,-5.02266E-06,-5.64563E-06,0,28.55555899,2.69983E-05,7.00077E-05,13.52198437
1.5,9.06405E-05,19.91802066,-5.01825E-06,-5.63725E-06,0,28.75473954,2.67727E-05,7.01358E-05,13.53102412
1.51,9.06196E-05,19.91795587,-5.01398E-06,-5.62851E-06,0,28.95391942,2.65487E-05,7.02583E-05,13.54000458
1.52,9.05989E-05,19.91789453,-5.00986E-06,-5.61943E-06,0,29.15309867,2.63262E-05,7.03754E-05,13.5489259
1.53,9.05785E-05,19.91783661,-5.00587E-06,-5.61003E-06,0,29.35227732,2.61054E-05,7.04871E-05,13.55778823
1.54,9.05584E-05,19.91778209,-5.00202E-06,-5.60033E-06,0,29.55145541,2.58863E-05,7.05936E-05,13.56659173
1.55,9.05387E-05,19.91773095,-4.9983E-06,-5.59034E-06,0,29.75063297,2.5669E-05,7.06952E-05,13.57533654
1.56,9.05195E-05,19.91768316,-4.9947E-06,-5.58006E-06,0,29.94981004,2.54535E-05,7.07917E-05,13.5840228
1.57,9.05007E-05,19.91763871,-4.99124E-06,-5.56953E-06,0,30.14898665,2.52399E-05,7.08834E-05,13.59265066
1.58,9.04823E-05,19.91759756,-4.9879E-06,-5.55875E-06,0,30.34816283,2.50282E-05,7.09702E-05,13.60122025
1.59,9.04645E-05,19.9175597,-4.98468E-06,-5.54772E-06,0,30.54733861,2.48185E-05,7.10523E-05,13.60973172
1.6,9.04472E-05,19.91752511,-4.98158E-06,-5.53647E-06,0,30.74651403,2.46109E-05,7.11299E-05,13.61818519
1.61,9.04304E-05,19.91749376,-4.97861E-06,-5.52501E-06,0,30.94568912,2.44054E-05,7.12027E-05,13.6265808
1.62,9.04141E-05,19.91746562,-4.97576E-06,-5.51334E-06,0,31.14486392,2.4202E-05,7.12711E-05,13.63491868
1.63,9.03983E-05,19.91744069,-4.97303E-06,-5.50148E-06,0,31.34403845,2.40008E-05,7.13349E-05,13.64319895
1.64,9.03831E-05,19.91741893,-4.97042E-06,-5.48943E-06,0,31.54321274,2.38018E-05,7.13942E-05,13.65142174
1.65,9.03682E-05,19.91740032,-4.96793E-06,-5.47721E-06,0,31.74238683,2.36051E-05,7.14493E-05,13.65958717
1.66,9.03539E-05,19.91738484,-4.96556E-06,-5.46483E-06,0,31.94156076,2.34108E-05,7.14999E-05,13.66769537
1.67,9.034E-05,19.91737247,-4.9633E-06,-5.45229E-06,0,32.14073454,2.32187E-05,7.15462E-05,13.67574645
1.68,9.03265E-05,19.91736319,-4.96117E-06,-5.43961E-06,0,32.33990822,2.30291E-05,7.15882E-05,13.68374054
1.69,9.03134E-05,19.91735697,-4.95915E-06,-5.42679E-06,0,32.53908182,2.28418E-05,7.1626E-05,13.69167775
1.7,9.03006E-05,19.91735379,-4.95724E-06,-5.41384E-06,0,32.73825537,2.2657E-05,7.16597E-05,13.69955821
1.71,9.02883E-05,19.91735363,-4.95545E-06,-5.40078E-06,0,32.9374289,2.24747E-05,7.16891E-05,13.70738203
1.72,9.02762E-05,19.91735647,-4.95376E-06,-5.3876E-06,0,33.13660245,2.22948E-05,7.17145E-05,13.71514933
1.73,9.02644E-05,19.91736228,-4.95219E-06,-5.37431E-06,0,33.33577604,2.21175E-05,7.17358E-05,13.72286023
1.74,9.02529E-05,19.91737104,-4.95072E-06,-5.36093E-06,0,33.5349497,2.19427E-05,7.17531E-05,13.73051485
1.75,9.02416E-05,19.91738273,-4.94935E-06,-5.34747E-06,0,33.73412347,2.17705E-05,7.17665E-05,13.73811331
1.76,9.02305E-05,19.91739733,-4.94809E-06,-5.33392E-06,0,33.93329737,2.16008E-05,7.17759E-05,13.74565573
1.77,9.02196E-05,19.91741482,-4.94692E-06,-5.3203E-06,0,34.13247143,2.14338E-05,7.17815E-05,13.75314224
1.78,9.02088E-05,19.91743517,-4.94585E-06,-5.30661E-06,0,34.33164567,2.12693E-05,7.17833E-05,13.76057294
1.79,9.01982E-05,19.91745837,-4.94487E-06,-5.29286E-06,0,34.53082014,2.11075E-05,7.17813E-05,13.76794798
1.8,9.01878E-05,19.91748438,-4.94399E-06,-5.27907E-06,0,34.72999485,2.09483E-05,7.17758E-05,13.77526747
1.81,9.01774E-05,19.9175132,-4.9432E-06,-5.26522E-06,0,34.92916984,2.07918E-05,7.17665E-05,13.78253154
1.82,9.01671E-05,19.91754479,-4.94249E-06,-5.25135E-06,0,35.12834512,2.06379E-05,7.17539E-05,13.78974032
1.83,9.01569E-05,19.91757913,-4.94186E-06,-5.23744E-06,0,35.32752074,2.04867E-05,7.17377E-05,13.79689393
1.84,9.01467E-05,19.91761621,-4.94132E-06,-5.22351E-06,0,35.52669672,2.03381E-05,7.17182E-05,13.80399252
1.85,9.01366E-05,19.917656,-4.94086E-06,-5.20956E-06,0,35.72587308,2.01923E-05,7.16954E-05,13.81103622
1.86,9.01266E-05,19.91769848,-4.94048E-06,-5.1956E-06,0,35.92504985,2.00491E-05,7.16693E-05,13.81802515
1.87,9.01166E-05,19.91774363,-4.94018E-06,-5.18164E-06,0,36.12422705,1.99085E-05,7.16402E-05,13.82495947
1.88,9.01067E-05,19.91779143,-4.93995E-06,-5.16768E-06,0,36.32340473,1.97707E-05,7.16079E-05,13.8318393
1.89,9.00968E-05,19.91784185,-4.93979E-06,-5.15374E-06,0,36.52258289,1.96355E-05,7.15728E-05,13.83866479
1.9,9.00869E-05,19.91789487,-4.93971E-06,-5.13981E-06,0,36.72176157,1.95031E-05,7.15348E-05,13.84543609
1.91,9.00771E-05,19.91795048,-4.9397E-06,-5.1259E-06,0,36.9209408,1.93732E-05,7.14939E-05,13.85215334
1.92,9.00673E-05,19.91800866,-4.93975E-06,-5.11202E-06,0,37.12012059,1.92461E-05,7.14505E-05,13.85881668
1.93,9.00576E-05,19.91806937,-4.93988E-06,-5.09818E-06,0,37.31930098,1.91216E-05,7.14043E-05,13.86542628
1.94,9.0048E-05,19.9181326,-4.94006E-06,-5.08438E-06,0,37.51848199,1.89997E-05,7.13558E-05,13.87198226
1.95,9.00384E-05,19.91819834,-4.94032E-06,-5.07062E-06,0,37.71766364,1.88806E-05,7.13048E-05,13.87848481
1.96,9.00289E-05,19.91826655,-4.94063E-06,-5.05692E-06,0,37.91684596,1.8764E-05,7.12515E-05,13.88493405
1.97,9.00195E-05,19.91833722,-4.94101E-06,-5.04328E-06,0,38.11602898,1.865E-05,7.11961E-05,13.89133016
1.98,9.00102E-05,19.91841032,-4.94145E-06,-5.0297E-06,0,38.31521271,1.85387E-05,7.11384E-05,13.8976733
1.99,9.0001E-05,19.91848584,-4.94195E-06,-5.01619E-06,0,38.51439719,1.843E-05,7.10787E-05,13.90396361
2,8.99919E-05,19.91856376,-4.9425E-06,-5.00276E-06,0,38.71358244,1.83239E-05,7.10171E-05,13.91020126
2.01,8.9983E-05,19.91864405,-4.94311E-06,-4.9894E-06,0,38.91276847,1.82203E-05,7.09536E-05,13.91638643
2.02,8.99741E-05,19.91872669,-4.94378E-06,-4.97613E-06,0,39.11195533,1.81193E-05,7.08884E-05,13.92251926
2.03,8.99654E-05,19.91881167,-4.9445E-06,-4.96295E-06,0,39.31114302,1.80208E-05,7.08213E-05,13.92859993
2.04,8.99568E-05,19.91889896,-4.94527E-06,-4.94987E-06,0,39.51033157,1.79249E-05,7.07528E-05,13.9346286
2.05,8.99484E-05,19.91898855,-4.94609E-06,-4.93688E-06,0,39.709521,1.78314E-05,7.06827E-05,13.94060544
2.06,8.99401E-05,19.91908041,-4.94696E-06,-4.92399E-06,0,39.90871135,1.77405E-05,7.06111E-05,13.94653062
2.07,8.9932E-05,19.91917452,-4.94787E-06,-4.91121E-06,0,40.10790262,1.7652E-05,7.05382E-05,13.9524043
2.08,8.9924E-05,19.91927086,-4.94884E-06,-4.89854E-06,0,40.30709484,1.75659E-05,7.04639E-05,13.95822667
2.09,8.99162E-05,19.91936942,-4.94984E-06,-4.88598E-06,0,40.50628804,1.74823E-05,7.03885E-05,13.96399789
2.1,8.99086E-05,19.91947017,-4.95089E-06,-4.87354E-06,0,40.70548224,1.74011E-05,7.03119E-05,13.96971814
